nom_realisateur,averageRating,photo_url
Krzysztof Kieslowski,7.8,https://upload.wikimedia.org/wikipedia/commons/1/16/Alberto_Terrile.1994.Krzysztof_Kieslowsky.jpg
Alejandro Amenábar,7.766666666666667,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amenabar_%2822022306905%29_%28cropped%29.jpg/800px-Amenabar_%2822022306905%29_%28cropped%29.jpg
François Truffaut,7.7,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Fran%C3%A7ois_truffaut.jpg/800px-Fran%C3%A7ois_truffaut.jpg
Wolfgang Becker,7.7,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Wolfgang_Becker_o.jpg/1024px-Wolfgang_Becker_o.jpg
René Laloux,7.7,https://www.babelio.com/users/AVT_Rene-Laloux_5663.jpg
Justine Triet,7.7,https://upload.wikimedia.org/wikipedia/commons/6/64/Justine_Triet_2017.jpg
Taylor Sheridan,7.7,https://cdn.britannica.com/66/250366-050-804613C1/Actor-Taylor-Sheridan-2022.jpg
Joel Coen,7.7,https://upload.wikimedia.org/wikipedia/commons/e/e2/Coen_brothers_Cannes_2015_2_%28CROPPED%29.jpg
Christian Carion,7.7,https://fr.web.img5.acsta.net/pictures/17/07/12/11/42/199712.jpg
Sylvain Chomet,7.7,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sylvain_Chomet%2C_auteur_du_spectacle_musical_Les_Triplettes_de_Belleville_dans_Go_Ouest.jpg/800px-Sylvain_Chomet%2C_auteur_du_spectacle_musical_Les_Triplettes_de_Belleville_dans_Go_Ouest.jpg
Michael Mann,7.7,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Michael_Mann_SDCC_2014.jpg/800px-Michael_Mann_SDCC_2014.jpg
Stephen Daldry,7.7,https://upload.wikimedia.org/wikipedia/commons/1/13/Stephen_Daldry_%28Berlin_Film_Festival_2009%29.jpg
Ron Howard,7.7,https://upload.wikimedia.org/wikipedia/commons/a/a9/Ron_Howard_Cannes_2018.jpg
Ken Loach,7.65,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ken_Loach_Cannes_2019.jpg/330px-Ken_Loach_Cannes_2019.jpg
Jean-Jacques Annaud,7.6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Jean-Jacques_Annaud_par_Claude_Truong-Ngoc_f%C3%A9vrier_2015.jpg/330px-Jean-Jacques_Annaud_par_Claude_Truong-Ngoc_f%C3%A9vrier_2015.jpg
Andrey Zvyagintsev,7.6,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Andre%C3%AF_Zviaguintsev-_2016.jpg/330px-Andre%C3%AF_Zviaguintsev-_2016.jpg
Emir Kusturica,7.6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emir_kusturica_72_9643.jpg/330px-Emir_kusturica_72_9643.jpg
Olivier Dahan,7.6,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Olivier_Dahan_by_David_Shankbone.jpg/330px-Olivier_Dahan_by_David_Shankbone.jpg
Jean-Luc Godard,7.566666666666666,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Jean-Luc_Godard_at_Berkeley%2C_1968.jpg/300px-Jean-Luc_Godard_at_Berkeley%2C_1968.jpg
Pedro Almodóvar,7.55,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Pedro_Almod%C3%B3var_at_Premios_Goya_2017_1_%28cropped_3%29.jpg/800px-Pedro_Almod%C3%B3var_at_Premios_Goya_2017_1_%28cropped_3%29.jpg
David Lynch,7.52,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/David_Lynch_Cannes_2017.jpg/330px-David_Lynch_Cannes_2017.jpg
Luc Jacquet,7.5,https://fr.web.img5.acsta.net/pictures/192/026/19202670_20131009104301782.jpg
Jérémy Clapin,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Festival_de_Cinema_de_Sitges_2019_%2849500412253%29_%28cropped%29.jpg/800px-Festival_de_Cinema_de_Sitges_2019_%2849500412253%29_%28cropped%29.jpg
Jane Campion,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Jane_Campion_DNZM_%28cropped%29.jpg/330px-Jane_Campion_DNZM_%28cropped%29.jpg
Marc Caro,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/MarcCaro.jpg/800px-MarcCaro.jpg
Mike Figgis,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Mike_Figgis_-_Deloitte_Ignite_2011_%282%29.jpg/330px-Mike_Figgis_-_Deloitte_Ignite_2011_%282%29.jpg
Richard Attenborough,7.5,https://upload.wikimedia.org/wikipedia/commons/c/c3/RichardAttenborough07TIFF.jpg
Pawel Pawlikowski,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Pawel_Pawlikowski_%28cropped%29.jpg/800px-Pawel_Pawlikowski_%28cropped%29.jpg
Yann Samuell,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Yann_Samuell_Cabourg_2013.jpg/330px-Yann_Samuell_Cabourg_2013.jpg
Guillaume Canet,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Guillaume_Canet.jpg/330px-Guillaume_Canet.jpg
Tom Tykwer,7.5,https://upload.wikimedia.org/wikipedia/commons/5/58/Tom_Tykwer_%28Berlin_Film_Festival_2009%29.jpg
Takeshi Kitano,7.5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/TakeshiKitano.jpg/390px-TakeshiKitano.jpg
